array,location,lat,lon,depth_m,deploy_datetime,year,receiver
DMRMC,Big Nash Island,44.472,-67.74467,20.7,2025-12-28T04:00:00,2026,NexTrak-R1-802904
NGOMWS,Black Rocks,43.75991,-69.71002,26,2023-05-12T12:49:00,2023,VR2W-128440
NGOMWS,Black Rocks,43.76,-69.71,26,2022-05-22T12:00:00,2022,VR2W-128440
NGOMWS,Kennebunk Beach,43.33668,-70.51257,8,2023-06-09T10:30:00,2023,VR2W-128446
NGOMWS,Kennebunk Beach,43.33672,-70.51382,14,2024-05-16T11:45:00,2024,VR2Tx-491598
NGOMWS,Kennebunk Beach,43.33672,-70.51382,12,2025-05-28T06:47:00,2025,VR2Tx-491598
NGOMWS,Kennebunk Beach,43.33668,-70.51257,8,2022-05-22T12:00:00,2022,VR2W-128446
NGOMWS,Kennebunk Beach,43.32936,-70.52773,10.6,2021-06-02T1:00:00 PM,2021,VR2W-136901
NGOMWS,Ogunquit Beach,43.265,-70.58,6,2023-06-09T09:30:00,2023,VR2W-136899
NGOMWS,Ogunquit Beach,43.265,-70.58,10,2024-05-16T10:50:00,2024,VR2Tx-485321
NGOMWS,Ogunquit Beach,43.265,-70.58,6,2025-05-28T06:22:00,2025,VR2Tx-485321
NGOMWS,Ogunquit Beach,43.265,-70.58,6,2022-05-22T12:00:00,2022,VR2Tx-485323
NGOMWS,Ogunquit Beach,43.2598,-70.58028,8.5,2021-06-02T1:00:00 PM,2021,VR2W-128445
NGOMWS,Saco Bay,43.51073,-70.34556,15,2023-05-12T09:00:00,2023,VR2W-136901
NGOMWS,Saco Bay,43.51073,-70.34556,8,2024-05-30T13:05:00,2024,VR2Tx-485323
NGOMWS,Saco Bay,43.5107,-70.3456,13,2025-05-16T08:22:00,2025,VR2Tx-485323
NGOMWS,Saco Bay,43.51038,-70.35253,12.1,2021-05-13T11:50:00 AM,2021,VR2W-136898
NGOMWS,Scarborough Beach,43.53927,-70.30211,11,2023-05-12T08:23:00,2023,VR2W-113465
NGOMWS,Scarborough Beach,43.53927,-70.30211,6,2024-05-30T12:05:00,2024,VR2W-113465
NGOMWS,Scarborough Beach,43.5388,-70.3011,8,2025-05-16T08:04:00,2025,VRXM-667383
NGOMWS,Scarborough Beach,43.53922,-70.30212,10.6,2021-05-13T1:05:00 PM,2021,VR2Tx-485320
NGOMWS,Scarborough Beach,43.54063,-70.30247,11,2022-05-22T12:00:00,2022,VR2W-113465
NGOMWS,Stratton Island,43.51185,-70.31087,20,2023-05-12T08:34:00,2023,VR2W-112591
NGOMWS,Stratton Island,43.49725,-70.31164,10,2024-05-30T12:50:00,2024,VR2Tx-485322
NGOMWS,Stratton Island,43.4972,-70.3116,16,2025-05-16T08:40:00,2025,VR2Tx-485322
NGOMWS,Stratton Island,43.50484,-70.32782,19.9,2021-05-13T11:50:00 AM,2021,VR2W-112591
NGOMWS,Stratton Island,43.51188,-70.31095,20,2022-05-22T12:00:00,2022,VR2W-112591
NGOMWS,Wells Beach,43.29203,-70.55738,13.7,2020-10-06T12:30:00,2020,VR2W-113464
NGOMWS,Wells Beach,43.30167,-70.55667,8,2023-06-09T10:07:00,2023,VR2W-112593
NGOMWS,Wells Beach,43.30167,-70.55667,12,2024-05-16T11:15:00,2024,VR2W-112593
NGOMWS,Wells Beach,43.30167,-70.55667,8,2025-05-28T06:34:00,2025,VR2Tx-492320
NGOMWS,Wells Beach,43.30167,-70.55667,8,2022-05-22T12:00:00,2022,VR2W-112593
NGOMWS,Wells Beach,43.30119,-70.55547,10.6,2021-06-02T1:00:00 PM,2021,VR2W-132274
NGOMWS,"Wood Island, Saco",43.45885,-70.3359,NA,2020-07-15T12:00:00,2020,VR2W-128435
NGOMWS,"Wood Island, Saco",43.45613,-70.3359,9.1,2021-05-11T12:00:00 AM,2021,VR2W-128424
